Codigo,Título,Quantidades,Autor,Ano,Editora,Edição,ISBN,Categoria
BIOG01,Zoologia dos invertebrados,1,Robert D. Barnes,1996,Livraria Atheneu,4° Ed. ,-,Biologia Geral
BIOG02,Zoologia geral,1,"Tracy I. Strorer, Robert L. Usinger, Robert C. Stebbins, James W. Nybakken",1989,Companhia editora nacional,8° Ed. ,-,Biologia Geral
BIOG03,Introdução ao estudo dos insetos,1,"Donald J. Borror, Dwight M. DeLong",1988,Edgard Blucher ,1° Ed. ,-,Biologia Geral
BIOG04,Entre o gambá e o macaco,1,Eurico Santos,1984,Itatiaia,6° Ed. ,-,Biologia Geral
BIOG05,Miscelânea Zoológica ,,Eurico Santos,1987,Itatiaia,11º Ed.,-,Biologia Geral
BIOG06,Glossário de Oceanografia,Biologia Geral,Argeo Magliocca,1987,Editora da Universidade de São Paulo,1º Ed.,-,Biologia Geral
BIOG07,Guia de Farmacognosia Aplicada,Biologia Geral,"Marcia do Rocio Duarte, Yoshiko Yassumoto, Carlos Cecy",1991,Editora Universitária Champagnat,-,-,Biologia Geral
BIOG08,Zoologia,1,"Marcos Durval, Guimarães Ferri",1974,Itatiaia,1° Ed. ,-,Biologia Geral
BIOG09,Fisiologia Humana,1,Arthur C. Guyton,1984,Guanabara,6° Ed. ,-,Biologia Geral
BIOG10,Biologia celular e molecular,1,L.C.U. Junqueira,1987,Guanabara,1° Ed. ,-,Biologia Geral
BIOG11,História geológica da vida,1,A. LEE McALESTER,1988,Edgard,1° Ed. ,-,Biologia Geral
BIOG12,Introdução à citogenética geral,1,Marcelo dos Santos Guerra,1988,Guanabara,1° Ed. ,-,Biologia Geral
BIOG13,Paleontologia básica,1,Josue Camargo Mendes,1988,Editora da Universidade de São Paulo,13° Ed. ,-,Biologia Geral
BIOG14,Introdução a geomorfologia,1,"Lucivânio Jatobá, Rachel Lins Caldas",2003,Bagaço,4° Ed. ,-,Biologia Geral
BIOG15,Chemical principles,1,Steven S. Zumdahl,1995,Heath,2° Ed. ,-,Biologia Geral
BIOG16,Nature's Chemicals: the natural products that Shaped Our World,1,Richard Firn,2010,Oxford University Press,1° Ed. ,-,Biologia Geral
BIOG17,Microbiologia,1,Luiz Rachid Trabulsi,1989,Livraria Atheneu,1° Ed. ,-,Biologia Geral
BIOG18,Microbiologia básica,1,"Juarez Braga Soares, Antonio Renato S. de Casimiro, Laurênia Maria B. de Albuquerque",1991,Editora UFC,1° Ed. ,-,Biologia Geral
BIOG19,Comportamento animal,1,"Vincent Gaston Dethier, Eliot Stellar",1988,Edgard Blucher ,1° Ed. ,-,Biologia Geral
BIOG20(1/1),O comportamento animal,,Carty/Howse,1923,Editora Pedagogica e Universitária,14ºEd.,,Biologia Geral
BIOG20(2/2),O comportamento social dos animais,,Deag,1980,Editora Pedagogica e Universitária,26º Ed.,,Biologia Geral
BIOG21,Guia para Trabalhos de Campo em Paleontologia na Bacia do Araripe,Biologia Geral,Alamo Feitosa Soares,2010,-,1° Ed.,,Biologia Geral
BIOG22,"Vida: a ciência da biologia. Volume 2: evolução, diversidade e ecologia",1,"David Sadava, Craig Heller, Gordon Orians, Bill Purves, David Hillis",2009,Artmed,8° Ed. ,-,Biologia Geral
BIOG22,"Vida: a ciência da biologia. Volume 3: evolução, diversidade e ecologia",1,"David Sadava, Craig Heller, Gordon Orians, Bill Purves, David Hillis",2009,Artmed,8° Ed. ,-,Biologia Geral
BIOG23,Miranda Azevedo e o Darwinismo no Brasil,1,Terezinha Alves Ferreira Collichio,1988,Itatiaia,1° Ed. ,-,Biologia Geral
BIOG24,História da Biologia,Biologia Geral,Jean Theodorides,1965,Press Universitaries de France,1° Ed.,,Biologia Geral
BIOG25,"Os Primitivos, Nossos Contemporaneos",Biologia Geral,Frédéric Rognon,1991,Papirus editora,-,,Biologia Geral
BIOG26,"Recursos geneticos, nosso tesouro esquecido: Abordagem técnica e sócio-econômi",Biologia Geral,Daniel Querol,1993,Satis,1° Ed.,,Biologia Geral
BIOG27,Vida: A ciência da Biologia I: Célula e Hereditariedade,,"David Sadava, Craig Heller, Gordon Orians, Bill Purves, David Hillis",2009,Artmed,8° Ed. ,-,Biologia Geral
BOT01,Acta Botanica Brasilica/ Official Publication of the Brazilian Botanical Society - New Perspectives in Ethnobotany: Frontiers and Innovations,,"Ana Ladio, Natalia Hanazaki e Nivaldo Peroni",2019,Acta Botanica Brasilica,- ,-,Botânica
BOT02,Água: Vida das Plantas,,Todor Georgiev Kudrev,1994,Ícone,1° Ed.,85-274-0291-2,Botânica
BOT03,Anatomia da Madeira,,"Luiza Maria Burger, Hans Gerog Ritcher",1991,Livraria Nobel S.A,- ,,Botânica
BOT04,Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil,,Harri Lorenzi,2002,-,4º Ed.,,Botânica
BOT05,Aspectos Taxonômicos e Etnobotânicos de Plantas Empregadas para fins litúrgicos e medicinais nos cultos Afro-Brasileiros em Recife - PE,,Ulysses Pualino de Albuquerque,1993,-,-,,Botânica
BOT06,Bioclimatologia Vegetal,,José Carlos Ometto,1981,Agronômica Ceres Ltda.,1° Ed.,,Botânica
BOT07,Botânica Aplicada ao Controle de Qualidade de Alimentos e Medicamentos,,Luiza Iilza Ferreira Jorge,2000,Atheneu,1° Ed.,,Botânica
BOT08(1/2),Cadernos Didaticos: Anatomia das Espermatofitas (Exercicios Praticos),,"Aristéa Alves Azevedo, Carlos Joaquim Gomide, Eldo Antônio Monteiro da Silva, Helvécio da Silva, José Maria",2000,Editora UFV,1º Ed.,,Botânica
BOT08(2/2),Cadernos Didaticos: Anatomia das Espermatofitas (Exercicios Praticos),,,,,,,Botânica
BOT09,"Complexo Agroindustrial das Plantas Medicinais, Aromáticas e Condimentares no Estudo do Paraná - Diagnóstico e Perspectivas",,"Cirino Corrêa Júnior, Luiz Roberto Graça, Marianne Christina Scheffer",2004,,1º Ed.,,Botânica
BOT10,Cómo Viven las Plantas,,Carlos Vázquez Yanes,1997,-,-,,Botânica
BOT11,Biologia Vegetal,,"Raven, Evert ,Eichhrn",1978,Guanabara Koongon,7° Ed. ,,Botânica
BOT12(1/1),Botânica Criptogâmica vol 1,,Gilbert M. Smith,1995,,4° Ed.,,Botânica
BOT12(2/2),Botânica Criptogâmica vol 2,,Gilbert M. Smith,1995,,4° Ed.,,Botânica
BOT13,Comunicações - Técnicas Florestais - Levantamento Ecologico Rápido,,,,,,,Botânica
BOT14(1/1),Sistemática de Angiospermas do Brasil - Vol I,1,Graziella Maciel Barroso et al.,2002,UFV,2° Ed.,,Botânica
BOT14(2/2),Sistemática de Angiospermas do Brasil  - Vol II,1,Graziela Maciel Barroso,2002,UFV,2° Ed.,,Botânica
BOT15,Constituintes Quimicos Ativos de Plantas Medicinais Brasileiras,,Mirian Pinheiro de Sousa,1991,EUFC,1° Ed.,,Botânica
BOT16,Dendrologia das Gimnospermas,,José Newton Cardoso Marchiori,1996,USFM,1° Ed.,,Botânica
BOT17,Elementos de Dendrologia,,José Newton Cardoso Marchiori,1995,Editora da Universidade Federal Santa Maria,-,,Botânica
BOT18,Sistemática de Angiospermas do Brasil Vol III,1,Graziela Maciel Barroso,1991,,1° Ed. ,,Botânica
BOT19,Farmácias Vivas,,F. J. Abreu Matos,1998,Edições UFC,3º Ed.,,Botânica
BOT20,Morfologia Vegtal - Organografia e Dicionário Ilustrado de Morfologia das Plantas vasculars,,"Eduardo Gomes Gonçalves, Harri Lorenzi ",2007,Instituto Plantarum de Estudos da Flora,1° Ed. ,-,Botânica
BOT21,Botânica - Morfologia externa das plantas,,Mário Guimarães Ferri,1983,Nobel,1° Ed. ,,Botânica
BOT22,Botânica: Morfologia Interna das Plantas (Anatomia),,Mário Guimarães Ferri,1981,Melhoramentos,9° Ed.,-,Botânica
BOT23,Introdução à Fitoquímica Experimental,,F. J. Abreu Matos,1997,Edições UFC,2º Ed.,,Botânica
BOT24,Anatomia Vegetal - Parte I Células e Tecidos,,E. G. Cutter,1986,Roca,2° Ed.,-,Botânica
BOT25,Anatomia Vegetal - Parte II Orgãos Experimentos e Interpretação,,Elizabeth G. Cutter,1987,Roca,2° Ed.,-,Botânica
BOT26,Livro Vermelho da Flora do Brasil - Plantas Raras do Cerrado,,"Gustavo Martinelli, Tainan Messina & Luiz Santos Filho",2014,-,1º Ed.,,Botânica
BOT27,Plant resins: Chemistry Evolution Ecology Ethnobotany,,Jean H. Langenheim,2003,-,-,,Botânica
BOT28,Botánica económica en bosques tropicales: principios y métodos para su estudio y aprovechamiento,,"Martin Ricker, Douglas C. Daly",1998,Editorial Diana,1° Ed. ,9789681328610,Botânica
BOT29,Asteraceae: Caracterização e Morfologia Floral,, Nádia Roque & Hortensia Bautista,2008,EDUFBA,1° Ed. ,9788523205393,Botânica
BOT30,Introdução à Fisiologia Vegetal,,Marcel Award,1986,Nobel,1° Ed. ,,Botânica
BOT31,Fisiologia vegetal 2 ,,Coordenador: Mário Guimarães Ferri,1986,,2° Ed.,,Botânica
BOT32,Elementos Básicos de Sistemática Filogenética,,Dalton de Souza Amarin,1997,Holos/Sociedade Brasileira de Entomologia,2° Ed.,-,Botânica
BOT33,Germinação de Sementes de Palmeiras - Revisão Bibliográfica,,Claudio Urbano B. Pinheiro,1985,Embrapa,1° Ed. ,,Botânica
BOT34,Plantas raras do Brasil,,Isabel de Lima Souza,2009,UEFS,1° Ed. ,,Botânica
BOT35,Pesquisa Botânica Nordestina: Progresso e Perspectivas,,Everardo V.S.B. Sampaio,1996,SBB,1° Ed. ,,Botânica
BOT36,"Fragmentos de Mata Atlantica do Nordeste - Biodiversidade, consrvação e suas bromelias",,"José Alves Siqueira Filho, Elton M. C. Leme",-,Andrea Jakobsson Estúdio Editorial Ltda.,1° Ed. ,,Botânica
BOT37,Canistrum - Bromélias da Mata Atlantica,,Elton M. C. Leme,1996,Salamandra,2° Ed.,,Botânica
BOT38,Plantas das Caatingas,,Dardano de Andrade Lima,1989,,1° Ed. ,,Botânica
BOT39,Caatinga árvores e arbustos e suas utilidades,,Gerda Nickel Maia,2004,Leitura & Arte,1° Ed. ,,Botânica
BOT40(1/2),Vegetação & Flora da Caatinga,,everardo v.s.b. sampaio & Ana Maria Giulitti,2000,,1° Ed. ,,Botânica
BOT40(2/2),Vegetação & Flora da Caatinga,,everardo v.s.b. sampaio & Ana Maria Giulitti,2000,,1° Ed. ,,Botânica
BOT41,"Bôtanica Sistemática: Guia Ilustrado para identificação das famílias de Fanerógamas natias e Exóticas no Brasil, baseado em APG II",,"Vinicius Castro Souza, Harri J. Lorenzi",2008,Instituto Plantarum,2° Ed.,-,Botânica
BOT42,árvores e madeiras úteis do brasil - Manual de dendrologia brasileira,,Carlos Toledo Rizzini,1990,Editôra E. Blücher,2° Ed.,9788521216629,Botânica
BOT43(1/2),Tratado de Fitogeografia do Brasil,,Carlos Toledo Rizzini,1997,"Ambito Cultural",1° Ed. ,-,Botânica
BOT43(2/2),Tratado de Fitogeografia do Brasil,,Carlos Toledo Rizzini,1997,"Ambito Cultural",1° Ed. ,-,Botânica
BOT44,Morfologia vegetal: organografia e dicionário ilustrado de morfologia das plantas vasculares,,"Eduardo Gomes Gonçalves, Harri Lorenzi",2011,Instituto Plantarum de Estudos da Flora,2° Ed.,-,Botânica
BOT45,Flora Fanerogâmica da Ilha do Cardoso,,"Daniela C. Zappi, Luiza, S. Kinoshita",1996,Instituto de Botânica,4° Ed.,,Botânica
BOT46,Quadro Geográfico da Vegetação Primitiva na Província de Minas Gerais,1,Maria das Graças Lins Brandão,2011,Fino traço,1° Ed. ,9788580540116,Botânica
BOT47,Biogeografia do bioma cerrado: estudo fitofisionomico na Chapada do Espigao Mestre do Sao Francisco,,"Felfili, J.M",2001,Ministerio do Meio Ambiente,1° Ed. ,-,Botânica
BOT48,Plantas Invasoras de Culturas. Vol I ,1,Oswaldo Bacchi et al.,1982,Unicamp,1° Ed. ,,Botânica
BOT49,Plantas Invasoras de Culturas. Vol II,1,Oswaldo Bacchi et al.,1982,Unicamp,1° Ed. ,,Botânica
BOT50,Plantas Invasoras de Culturas. Vol III,1,Oswaldo Bacchi et al.,1982,Unicamp,1° Ed. ,,Botânica
BOT51(1/2),Flora das Caatingas do Rio São Francisco - Historia Natural  e Conservação,,José Alves Siqueira Filho,2012,Andrea Jakobsson Estúdio,1° Ed. ,9788588742505,Botânica
BOT51(2/2),Flora das Caatingas do Rio São Francisco - Historia Natural  e Conservação,,José Alves Siqueira Filho,2012,Andrea Jakobsson Estúdio,1° Ed. ,9788588742505,Botânica
BOT52,Flora Ilustrada Catarinense: Bignoniáceas ,1,"N. Y. Sandwith, P. Raulino Reitz, Roberto M. Klein",1974,"Herbario ""Barosa Rodrigues""",1° Ed. ,-,Botânica
BOT53,Palmas de Colombia: Guia de campo,,"Gloria Galeano, Rodrigo Bernal",2010,"Universidad Nacional de Colombia, Facultad de Ciencias, Instituto de Ciencias Naturales",1° Ed. ,9789587195019,Botânica
BOT54,Ecofisiologia Vegetal,,Walter Larcher,2000,RiMa Artes e Textos,1° Ed. ,9788586552038,Botânica
CA01,A Rede Prodema (1996-2016): em busca da sustentabilidade socioambiental,Ciências Ambientais,"Maristela Oliveira de Andrade, Salvador Dal Pozzo Trevizzan",2018,Editota UFPB,1º Ed.,9788523713581,Ciências Ambientais 
CA02,ABC do Guaporé,Ciências Ambientais,"Carolina Joana da Silva, Keid Nolan Silva Sousa, Marcos Silveira, Maria Aparecida Pereira Pierangeli, Nilo Leal Sander",2018,UNEMAT,1º Ed.,9788579111853,Ciências Ambientais 
CA03,Educação ambiental em unidades de conservação na caatinga paraibana: Praticas Pedagógicas e Formação Continuada de Professores,Ciências Ambientais,Francisco José Pegado Abílio,2017,Editora do CCTA,1º Ed.,-,Ciências Ambientais 
CA04,"Gestão Ambiental: Planejamento, Avaliação,  Implantação, Operação e Verificação",Ciências Ambientais,"Josimar Ribeiro de Almeida, Claudia dos S. Mello, Yara Cavalcanti",2000,Thex Editora,1º Ed.,-,Ciências Ambientais 
CA05,Introdução aos problemas da poluição ambiental,Ciências Ambientais,Gunter Fellenberg,1980,USP,1º Ed.,-,Ciências Ambientais 
CA06,"Meio Ambiente: Trabalho, Saúde e Segurança",Ciências Ambientais,Juan Carlos Vinãs Cortez,2013,UFPB,1° Ed.,-,Ciências Ambientais 
CA07,Teresina: Uma visão ambiental,Ciências Ambientais,Maria do Socorro Lira Monteiro,2006,UFPI,1º Ed.,-,Ciências Ambientais 
CA08,Zoneamento de Ambientes na Reserva Extrativista Chico Mendes - Acre,Ciências Ambientais,Lin Chau Ming,2007,Nuppea,1° Ed.,9788597459671,Ciências Ambientais 
CET01,Principles of Ecosytem Stewardship - Resilience-based natural Rsourc Management in a Changing World,,"Carl Folke, F Stuart Chapin III, Gary P. Kofinas",2009,Springer New York,1° Ed.,9780387730332,CET
CET02,Urban Ecology - An International perspctive on the interaction Between Humans and Nature,,"Clare Ryan, Craig ZumBrunnen, Eric Shulenberger, Gordon Bradley, John Marzluff, Ute Simon, Wilfried Endlicher, marina Alberti",2008,Springer US,1° Ed.,9780387734125,CET
CET03,Animals in tradicional folk medicinal - Implications for Conservation,,"Ierecê Lucena Rosa, Rômulo Romeu Nóbrega Alves",2013,Springer,1° Ed.,9783642290251,CET
CET04,Edible Medicines - An Ethnopharmacology of Food,,Nina L. Etkin,2007,University of Arizona Press,1° Ed.,9780816527489,CET
CET05,Traditional Ecological Knowldge and Natural Resource Managment,,Charles R. Menzies,2006,University of Nebraska Press,1° Ed.,9780803207356,CET
CET06,O saber biodiverso - Praticas e conhecimentos na agricultura indigena do baixo rio Negro,,Thiago Mota Cardoso,2010,"EDUA, Editora da Universidade Federal do Amazonas",1° Ed.,9788574015231,CET
CET07,Comunidades Tradicionais e Manejo dos Recursos Naturais da Mata Atlântica,,"Antonio Carlos Diegues, Virgílio M. Viana",2000,,1° Ed.,,CET
CET08,"Cura, Sabor e Magia nos Quintais da Ilha Grande",,"Alba Costa Maciel, Neuseli Cardoso",2003,Ed. UERJ,1° Ed.,9788575110409,CET
CET09,Percepção Ambiental: A experiência Brasileira,,Lívia de Oliveira,1999,Studio Nobel,2° Ed.,9788585445423,CET
CET10,Seeing the Forest and the Trees - Human-Environmental Interactions in Forest Ecosystems,,"Elinor Ostrom, Emilio F. Moran",2005,Mit Press,1° Ed.,9780262633123,CET
CET11,Sistemas Biocognitivos tradicionais - Paradigmas en la Conservation Biologica y l Fortalecimento Cultural,,"Ángel Moreno Fuentes, María Teresa Pulido Silva, Ramón Mariaca, Méndez",2010,,1° Ed.,,CET
CET12,"Conhecimento indigenas, pesquisa intercultural: Manejo do Mundo - Conhecimentos e práticas dos povos indigénas do rio negro",,Aloisio Cabalzar,2010,,1° Ed.,-,CET
CET13,O mito moderno da natureza intocada,,Antonio Carlos Sant'Ana Diegues,1994,NUPAUB,1° Ed.,9788527103459,CET
CET14,Pescando Pescadores: Etnoecologia Abrangente no Baixo São Francisco Alagoano,,José Geraldo W. Marques,1995,"Núcleo de Apoio à Pesquisa de Populações Humanas em Areas Umidas Brasileiras, Pró-Reitoria de Pesquisa da Universidade de São Paulo",1° Ed.,-,CET
CET15,"Nature Knowledge - Ethnosciencie, cognition, and utility",,"Gherardo Ortalli, Glauco Sanga",2004,Berghahn Books,1° Ed.,9781571818232,CET
CET16,"Eating on the wild side - The pharmacologic, ecologic, and social implications of using noncultigns",,Nina L. Etkin,1994,Paperback,1° Ed.,-,CET
CET17,Human Impacts on Amazonia - The rol of tradicional ecological knowledge in conservation and development,,"Darrell A. Posey, ‎Michael J. Balick",1983,Columbia University Press,1° Ed.,9780231517355,CET
CET18,Biodiversidad y conocimento tradicional - participation equitativa en práctica,,Sarah A. Laird,2002,Nordan-Comunidad,1° Ed.,9789974421028,CET
CET19,Ecossistemas florestais: Interação Homem-ambiente,,"Diógenes Salas Alves, Elinor Ostrom, Emilio F. Moran, Mateus Batistella",2009,Editora Senac,1° Ed.,9788573597905,CET
CET20,Percpção Ambiental e Comportamento - Visão Holistica da percepção Ambiental na Arquitetura e na Comunicação,,Jun Okamoto,2002,Editora Mackenzie,1° Ed.,9788587739094,CET
CET21,Saberes tradicionais e biodiversidade no Brasil,,"Antonio Carlos Diegues, Rinaldo S. V. Arruda",2001,,1° Ed.,-,CET
CET22,Sociobiodiversidade na chapada do araripe,,"Marcos Vinicius Meiado, Ulysses Paulino de Albuquerque",2015,NUPEEA,1° Ed.,9788563756244,CET
CET23(1/3),Na primeira margem do Rio: Territorio ecologia do povo xavante de Wedezé,,"James R. Welch, Ricardo Ventura Santos, Nancy May Flowers, Carlos Everaldo Alvares Coimbra Junior",2013,Museu do Índio - FUNAI,1° Ed.,9788585986469,CET
CET23(2/3),Na primeira margem do Rio: Territorio ecologia do povo xavante de Wedezé,,"James R. Welch, Ricardo Ventura Santos, Nancy May Flowers, Carlos Everaldo Alvares Coimbra Junior",2013,Museu do Índio - FUNAI,1° Ed.,9788585986469,CET
CET23(3/3),Na primeira margem do Rio: Territorio ecologia do povo xavante de Wedezé,,"James R. Welch, Ricardo Ventura Santos, Nancy May Flowers, Carlos Everaldo Alvares Coimbra Junior",2013,Museu do Índio - FUNAI,1° Ed.,9788585986469,CET
CET24(1/2),Direitos de recursos tradicionais: Formas de proteção e repartição de benefícios,,"Lin Chau Ming, Izabel de Carvalho, Maria Cezar de Vasconcellos, Maria Izabel Radomski, Maria dos Anjos Gonçalves Costa",2005,,1° Ed.,,CET
CET24(2/2),Direitos de recursos tradicionais: Formas de proteção e repartição de benefícios,,"Lin Chau Ming, Izabel de Carvalho, Maria Cezar de Vasconcellos, Maria Izabel Radomski, Maria dos Anjos Gonçalves Costa",2005,,1° Ed.,,CET
CET25(1/2),Saberes e Fazeres da Mata Atlantica do Nordeste,,"Bruno Paes Castelo Branco, Maria das Dores de V.C. Melo",2012,,3° Ed.,,CET
CET25(2/2),Saberes e Fazeres da Mata Atlantica do Nordeste,,"Bruno Paes Castelo Branco, Maria das Dores de V.C. Melo",2012,,3° Ed.,,CET
CET26,"Os insetos pelos moradores da Serra da Jibóia, Bahia",,Eraldo Medeiros Costa Neto,2004,Universidade Estadual de Feira de Santana,1° Ed.,9788573951080,CET
CET27,O uso ritual das plantas de poder ,,"Beatriz Caiuby Labate, Sandra Lucia Goulart",2005,FAPESP,1° Ed.,9788575910498,CET
CET28,Conservando nuestros bosques: conocimiento y uso de las palmas en las comunidades campesinas del norte de Bolivia,,"Erika A. Blacutt Rivero, Narel Paniagua Zambrana, Rainer Bussmann",2012,Impreso en Graficart,1° Ed.,9780984841516,CET
CET29,Los chácobo y las palmeras,,"Erika A. Blacutt Rivero, Narel Paniagua Zambrana, Rainer Bussmann",2011,Graficart [printer],1° Ed.,9780984841509,CET
CET30,"Nuestro conocimiento y uso de las palmeras, una herencia para nuestros hijos: comunidades Llaquash, San Martín, Perú",,William L. Brown Center for Plant Genetic Resources,2012,Graficart [printer],1° Ed.,9780984841530,CET
CET31,"El conocimiento de nuestros ancestros -  Los ese eja y uso de las palmeras madre de dios, peru",,"Manuel J. Macía, Narel Paniagua Zambrana, Rainer Bussmann",2012,"William L. Brown Center, Missouri Botanical Garden",1° Ed.,9780984841561,CET
CET32,"Kampanak se usa para el techo pero ya no hay -  Uso y conservacion de palmeras entre los Awajun, Amazonas, peru",,Narel Paningua Zambrana,2012,Graficart Srl,1° Ed.,978098484154,CET
CET33,"El bosque si tiene valor - El uso de palmeras en las comunidades campesinas e indigenas de la region de Inambari, madre d Dios, Peru ",,Narel Paningua Zambrana,2012,Graficart Srl,1° Ed.,984841547,CET
CET34,Plantas útiles del complejo cenagoso de Zapatosa,,Ana Christina Estupiñán-González,2011,CORPOCESAR,1° Ed.,-,CET
CET35,Etnobotánica de lós chácobo,,Brian Morey Boom,2010,,1° Ed.,,CET
CET36,Saberes e usos de Plantas - Legados de atividades humanas no Rio de Janeiro,,"Ariane Luna Peixoto, Inês Machline Silva",2011,Editora PUC Rio,1° Ed.,9788580060348,CET
CET37,Ensaios sobre a carnaubeira,,J. B. de M. CARVALHO,1982,EMPARN,2° Ed.,-,CET
CET38,O saber local  os recursos vegetais em Juruena Mato Grosso,,"Germano Guarim Neto, Márcia Regina Antunes Maciel",2008,Editora UFMT,1° Ed.,,CET
CET39,"Cultura, Identidade e Territorio no Nordeste indigena: Os fulni-ô",,Peter Schroder,2011,,1° Ed.,,CET
CET40,O segredo das Folhas -  Sistemas de Classificação de vegetais no Candoblé Iêje-Nago do Brasil,,José Flávio Pessoa de Barros,1993,Pallas - Editora e Distribuidora Ltda.,1° Ed.,,CET
CET41,As muitas faces da Jurema de espécies botânica à divindade afro-indigena,,"Clarice Novaes da Mota, Ulysses Paulino de Albuquerque",2002,Edições Bagaço,1° Ed.,9788574093505,CET
CET42,Resource Management in Amazonia Indigenous and Folk Strategies,,"Darrell Addison Posey, William L. Balée",1987,New York Botanical Garden,7° Ed.,-,CET
CET43,Extrativismo da Samambaia - Preta no Rio Grande do Sul,,"Gabriela Coelho de Souza, Lovois de Andrade Miguel, Rumi Regina Kubo",2008,UFRGS Editora,1° Ed.,9788538600152,CET
CET44(1/2),Los limpiadores de los cielos -  Factos y folclor de los zopilotes avs duenãs del imaginario Latioamericano,,Mauricio Vargas-Clavijo,2008,UFFS,1° Ed.,,CET
CET44(2/2),Los limpiadores de los cielos -  Factos y folclor de los zopilotes avs duenãs del imaginario Latioamericano,,,2008,UFFS,1° Ed.,,CET
CONS01(1/2),Ecologia e Conservação da Caatinga,1,Inara R. Leal; Marcelo Tabarelli; José Maria Cardoso da Silva ,2003,Ed. Universitária da UFPE,1° Ed. ,9788573152159,Conservação
CONS01(2/2),Ecologia e Conservação da Caatinga,1,Inara R. Leal; Marcelo Tabarelli; José Maria Cardoso da Silva ,2003,Ed. Universitária da UFPE,1° Ed. ,9788573152159,Conservação
CONS02,Ecologia e Conservação de Ecossistemas no Nordeste do Brasil ,1,Ana Carla Asfora El-Deir; Geraldo Jorge Barbosa de Moura; Elcida de Lima Araújo,2012,Nuppea,1° Ed. ,-,Conservação
