Codigo,Título,Quantidades,Autor,Ano,Editora,Edição,ISBN,Categoria
Etno22,"Carving out a future - Forest, livelihoods and the international woodcarving trade",,"A. B. Cunningham, Brian Belcher, Brian Murray Belcher, Bruce Morgan Campbell, Royal Botanic Gardens, Kew, Unesco",2005,Earthscan,1° Ed. ,9781844070459,Etnobiologia
Etno23,Plant Conservation: An Ecosytem Appoach,,Alan Hamilton,2012,Taylor & Francis,1° Ed. ,9781136559808,Etnobiologia
Etno24(1/2),Plant Identification - Creating user-friendly field guides for Biodivrsity managemenet,,"Alan Charles Hamilton, Anna Lawrence, William Hawthorne, Patrick Hamilton",2006,Earthscan,1° Ed. ,9781844070794,Etnobiologia
Etno24(2/2),Plant Identification - Creating user-friendly field guides for Biodivrsity managemenet,,"Alan Charles Hamilton, Anna Lawrence, William Hawthorne, Patrick Hamilton",2006,Earthscan,1° Ed. ,9781844070794,Etnobiologia
Etno25,Aprendendo etnobiologia,,Ulysses Paulino de Albuquerque,2022,NUPEEA,1º Ed.,9788579175770,Etnobiologia
Etno26(1/2),Landscap Ethnoecology - Concepts of Biotic and Physical Space,,"Eugene S. Hunn, Leslie Main Johnson",2010,Berghahn Books,1° Ed. ,9780857456328,Etnobiologia
Etno26(2/2),Landscap Ethnoecology - Concepts of Biotic and Physical Space,,"Eugene S. Hunn, Leslie Main Johnson",2010,Berghahn Books,1° Ed. ,9780857456328,Etnobiologia
Etno27,Introdução á Etnobiologia,,Ulysses Paulino de Albuquerque,2014,NUPEEA,1° Ed. ,9788563756237,Etnobiologia
Etno28,Linking Social and Ecological Systems: Management Practices and Social Mechanisms for Building Resilience,,"Carl Folke, Fikret Berkes, Johan Colding",2000,Cambridge University Press,1° Ed. ,9780521785624,Etnobiologia
Etno29(1/2),African Etnobotany  in Th Americans,,"Robert Voeks, John Rashford",2013,Springer,1° Ed. ,9781461408352,Etnobiologia
Etno29(1/2),African Etnobotany  in Th Americans,,"Robert Voeks, John Rashford",2013,Springer,1° Ed. ,9781461408352,Etnobiologia
Etno30(1/3),"Economic Botany: Devoted to Past,Present, and Future Uses of  Plants by People",,Robert Voeks,2018,Springer,-,-,Etnobiologia
Etno30(2/3),"Economic Botany: Devoted to Past,Present, and Future Uses of  Plants by People",,Robert Voeks,2018,Springer,-,-,Etnobiologia
Etno30(3/3),"Economic Botany: Devoted to Past,Present, and Future Uses of  Plants by People",,Robert Voeks,2018,Springer,-,-,Etnobiologia
Etno31(1/3),"Etnoecologia em perspectiva - naturza, cultura e conservação",,"Alves AGC, Souto FJB, Peroni N",2010,NUPEEA,3° Ed. ,-,Etnobiologia
Etno31(2/3),"Etnoecologia em perspectiva - naturza, cultura e conservação",,"Alves AGC, Souto FJB, Peroni N",2010,NUPEEA,1° Ed. ,-,Etnobiologia
Etno31(2/3),"Etnoecologia em perspectiva - naturza, cultura e conservação",,"Alves AGC, Souto FJB, Peroni N",2010,NUPEEA,1° Ed. ,-,Etnobiologia
Etno32,Ethnozoology - Animals in Our Lives,Etnobiologia,"Rômulo Romeu Nóbrega Alves, Ulysses Paulino de Albuquerque",2018,Academic Press,-,9780128099131,Etnobiologia
Etno33,"A Etnozoologia no Brasil - Importância, Status atual  Perspectivas",,"Alves, R.R.N., Souto, W.M.S., Mourão, J.S.",2010,NUPEEA,4° Ed. ,-,Etnobiologia
Etno34,Aspectos Históricos na Pesquisa Etnobiológica,,Medeiros MFT,2010,NUPEEA,5° Ed. ,-,Etnobiologia
Etno35(1/4),Etnobiologia e Saúde de Povos Indígenas,,Moacir Haverroth,2013,NUPEEA,7° Ed. ,9788563756206,Etnobiologia
Etno35(2/4),Etnobiologia e Saúde de Povos Indígenas,,Moacir Haverroth,2013,NUPEEA,1° Ed. ,9788563756206,Etnobiologia
Etno35(3/4),Etnobiologia e Saúde de Povos Indígenas,,Moacir Haverroth,2013,NUPEEA,1° Ed. ,9788563756206,Etnobiologia
Etno35(4/4),Etnobiologia e Saúde de Povos Indígenas,,Moacir Haverroth,2013,NUPEEA,1° Ed. ,9788563756206,Etnobiologia
Etno36(1/2),"Manual de Etnobotanica: Plantas, artefatos e Conhecimentos Indigenas",Etnobiologia,Aloisio Cabalzar et al,2017,FOIRN,-,9788582260487,Etnobiologia
Etno36(2/2),"Manual de Etnobotanica: Plantas, artefatos e Conhecimentos Indigenas",Etnobiologia,Aloisio Cabalzar et al,2017,FOIRN,,,Etnobiologia
Etno37(1/2),Pescadores e peixes: o conhecimento local e o uso da taxonomia folk baseada no modelo berlineano,,José da Silva Mourão,2006,NUPEEA,1° Ed. ,-,Etnobiologia
Etno37(2/2),Pescadores e peixes: o conhecimento local e o uso da taxonomia folk baseada no modelo berlineano,,José da Silva Mourão,2006,NUPEEA,1° Ed. ,-,Etnobiologia
Etno38(1/2),Plantas Medicinais e de Rituais Afro-Brasileiros II: Estudo Etnofarmacobotânico,Etnobiologia,Maria Thereza L. de Arruda Camargo,1998,Ícone,I° Ed.,,Etnobiologia
Etno38(2/2),Plantas Medicinais e de Rituais Afro-Brasileiros II: Estudo Etnofarmacobotânico,Etnobiologia,Maria Thereza L. de Arruda Camargo,1998,Ícone,1º Ed.,-,Etnobiologia
Etno39,Encontros e desencontros na pesquisa etnobiologica e etnoecologica: os desafios do trabalho em campo,,"Thiago Antonio de Sousa Araújo, Ulysses Paulino de Albuquerque",2009,NUPEEA,1° Ed. ,9788577165469,Etnobiologia
Etno40,Saberes locais sobre a Floresta Nacional do Araripe: conhecendo para conservar,,Lea,2015,-,1° Ed. ,,Etnobiologia
Etno41,A ciência que vio da lama: Etnoecologia em área de Manguezal,,"Francisco José Bezerra Souto, Natalia Hanazaki",2008,NUPEEA,1° Ed. ,9788577164899,Etnobiologia
Etno42,"Etnobotânica, uso e classificação dos vegetais pelos Kaingang",,"Moacir Haverroth, Natalia Hanazaki",2005,NUPEEA,2° Ed. ,9788577162772,Etnobiologia
Etno43,Etnobotânica Históricas: Principios e Procedimentos,,"Maria Franco Trindade Medeiros, Natalia Hanazaki",2009,NUPEEA,1° Ed. ,9788577166220,Etnobiologia
Etno44,A etnobotânica e os Jardins Botânicos,,"Viviane Stern da Fonseca-Kruel, Tânia Sampaio Pereira, Natalia Hanazaki",2009,NUPEEA,1° Ed. ,9788577166992,Etnobiologia
Etno45,Zoneamento de Ambientes na Reserva Extrativista Chico Mendes - Acre,,Chau Ming Lin,2007,NUPEEA,1° Ed. ,9788587459671,Etnobiologia
Etno46(1/2),Recent Developments and Cases Studios in Ethnobotany,,"Ulysses Paulino de Albuqueque, Natalia Hanazaki",2010,NUPPEA,1º Ed.,-,Etnobiologia
Etno46(2/2),Recent Developments and Cases Studios in Ethnobotany,,"Ulysses Paulino de Albuqueque, Natalia Hanazaki",2010,NUPEEA,1º Ed.,-,Etnobiologia
Etno47(1/3),"Tópicos em Conservação, Etnobotânica e Etnofarmacologia de Plantas Medicinais e Mágicas",Etnobiologia,"Ulysses Paulino de Albuquerque, Cecília F. C. B. R. Almeida, Joselma F. A. Marins",2005,NUPEEA,1º Ed.,,Etnobiologia
Etno47(2/3),"Tópicos em Conservação, Etnobotânica e Etnofarmacologia de Plantas Medicinais e Mágicas",Etnobiologia,"Ulysses Paulino de Albuquerque, Cecília F. C. B. R. Almeida, Joselma F. A. Marins",2005,NUPEEA,1º Ed.,,Etnobiologia
Etno47(3/3),"Tópicos em Conservação, Etnobotânica e Etnofarmacologia de Plantas Medicinais e Mágicas",Etnobiologia,"Ulysses Paulino de Albuquerque, Cecília F. C. B. R. Almeida, Joselma F. A. Marins",2005,NUPEEA,1º Ed.,,Etnobiologia
Etno48,Árvores de valor e o valor das árvores: pontos de conexão,,Ulysses Paulino de Albuquerque,2005,Sociedade Brasileira de Etnobiologia e Etnoecologia,1° Ed. ,9788563756008,Etnobiologia
Etno49,"Plantas, comunidads y áreas protegidas",,"John Tuxill, Mary Paul Nabham",2001,Nordan,1° Ed. ,-,Etnobiologia
Etno50,"Povos e Paisagens: Etnobiologia, Etnoecologia e biodiversidade no Brasil",,Ulyssses Paulino de Albuquerque et al.,2007,SBEE,1° Ed. ,-,Etnobiologia
Etno51(1/4),Atualidades em etnobiologia e etnoecologia,,Ulyssses Paulino de Albuquerque et al.,2002,SBEE,1° Ed. ,-,Etnobiologia
Etno51(2/4),Atualidades em etnobiologia e etnoecologia,,Ulyssses Paulino de Albuquerque et al.,2002,SBEE,1° Ed. ,-,Etnobiologia
Etno51(3/4),Atualidades em etnobiologia e etnoecologia,,Ulyssses Paulino de Albuquerque et al.,2002,SBEE,1° Ed. ,-,Etnobiologia
Etno51(4/4),Atualidades em etnobiologia e etnoecologia,,Ulyssses Paulino de Albuquerque et al.,2002,SBEE,1° Ed. ,-,Etnobiologia
Etno52(1/2),Plantas Úteis e Medicinais na Obra de Frei Vellozo,Etnobiologia,,,,,,Etnobiologia
Etno52(2/2),Plantas Úteis e Medicinais na Obra de Frei Vellozo,Etnobiologia,,,,,,Etnobiologia
Etno53,Estudios etnobotánicos en Campo (Cantabria) - Conocimnto y uso tradicional de plantas,,,,,1° Ed. ,,Etnobiologia
Etno54(1/2),"Pulque, Balché y Pajauaru: en la etnobiología de las bebidas y de los alimentos fermentados",,Oswaldo Gonçalves de Lima,1975,Fondo de Cultura Económica,1° Ed. ,9789681633523,Etnobiologia
Etno54(2/2),"Pulque, Balché y Pajauaru: en la etnobiología de las bebidas y de los alimentos fermentados",,Oswaldo Gonçalves de Lima,1975,Fondo de Cultura Económica,1° Ed. ,9789681633523,Etnobiologia
Etno55,Estudos Etnoecologicos na região metropolitana d Salvador,,Katia Nogueira Borges,2005,Editora UNEB,1° Ed. ,-,Etnobiologia
Etno56,Tradiciones & transformaciones en Etnobotánica,Etnobiologia,"María Lelia Pochettino, Ana H. Ladio, Patricia M. Arenas",2009,-,-,-,Etnobiologia
Etno57,Enduring Seeds: Native American Agriculture and Wild Plant Conservation,Etnobiologia,Gary Paul Nabhan,2002,The University of Arizona Press,-,-,Etnobiologia
Etno58,Writing Ethnographic Fieldnotes,Etnobiologia,"Robert M. Emerson, Rachel I. Fretz, Linda L. Shaw",1995,"Chicago guides to writing, editing, and publishing",-,-,Etnobiologia
Etno59,Tales of the Field - On writing Ethnography,Etnobiologia,John Van Maanen,1988,"Chicago guides to writing, editing, and publishing",-,-,Etnobiologia
Etno60,A erva do Diabo: Os ensinamentos de Dom Juan. As experiênicas complantas alucinógenas reveladas pelo brujo Dom Juan,,Carlos Castaneda,1993,Record,-,-,Etnobiologia
Etno61,A galinha d'angola: Iniciação e Identidade na Cultura Afro-brasileira,,"Arno Vogel, Marco Antonio da Silva Mello, José Flávio Pessoa de Barros",1993,PALLAS - Editora e distribuidora Ltda.,-,-,Etnobiologia
Etno62,Abordagens Participativas para o Desenvolvimento Local,,"Paulo Peterson, Jorge O. Romano",1999,Actionaid Brasil,-,-,Etnobiologia
Etno63,Agroecology and Smal Farm Development,,,,,,,Etnobiologia
Etno64,Atualidades em Etnobiologica e Etnoecologia,,,,,,,Etnobiologia
Etno65,Cartilla para la Produccion Sostenible de Artesanias en Chiquichiqui,,,,,,,Etnobiologia
Etno66,Conhecimento e Utilização de Mamíferos por Duas Comunidades em uma Area de Proteção Ambiental (APA/ARARIPE) uma Abordagem etnomastozoológica,,,,,,,Etnobiologia
Etno67,Des plantes et des dieux dans les cultes afro-brésiliens: Essai d'ethnobotanique comparative Afrique-Brásil,,Ming Anthony,2001,L' Harmattan,-,274752440X,Etnobiologia
Etno68,Direitos de Recursos Tradicionais: Formas de Proteção e Repartição de Benefícios,,,,,,,Etnobiologia
Etno69,Ecologia e Etnoecologia de Recursos Florestais de Uso Alimentício no Nordeste do Brasil,,,,,,,Etnobiologia
Etno70,Escola Viva Olho do Tempo: Gincana de Conhecimento e Preservação dos Patrimônios Culturais e Naturais do Vale do Gramane,,Raquel Carvalho dos Anjos,2017,-,-,,Etnobiologia
Etno71,Ethnobotany in the Neotropics: Proceedings,,G.T. Prance e J.A. Kallunki,1983,New York Botanical Garden,1° Ed,,Etnobiologia
Etno72,Etnobiologia e Biodiversidade,,Ulysses Paulino Albuquerque,2005,Nupeea,-,-,Etnobiologia
Etno73,"Etnobiologia, Etnoecologia e Pesca Artesanal",,"José da Silva Mourão, Dandara Monalisa Bezerra",2016,Eduepb,1° Ed.,,Etnobiologia
Etno74,Etnobiologia: Bases Ecologicas e Evolutivas,,Ulysses Paulino Albuquerque,2013,Nuppea,1° Ed.,,Etnobiologia
Etno75,"Etnobotânica, uso e classificação dos vegetais pelos Kaingang",,Moacir Haverroth,2007',Nuppea,1° Ed.,,Etnobiologia
Etno76,Etnofarmacobotanica: Conceituação e metodologia de pesquisa,,Maria Thereza Lemos de Arruda Camargo,2003,Terceira Margem,1° Ed.,,Etnobiologia
Etno77,Etnomatemática: Elo entre as tradições e modernidade,,Ubiratan D'Ambrosio,2002,Autêntica,1º Ed.,,Etnobiologia
Etno78,Etnozoologia: Recursos Animales para la salud en la tradicion salmantina,,"José Antonio González, José Ramón Vallejo, Alfonso J. Aparicio",2015,-,1º Ed.,97884164419012,Etnobiologia
Etno79,Ewé: O uso das plantas na sociedade Iorubá,,Pierre Fatumbi Verger,2009,Companhia das letras,-,9788571644731,Etnobiologia
Etno80,Fitoterapia da Amazônia - Manual das Plantas Medicinais,,Lúcio Salgado Vieira,1992,Editora Agronômica Ceres,2º Ed.,,Etnobiologia
Etno81,Guia de Las Plantas Medicinales de Cantabria: Salud y tradicion popular ,,Manuel Pardo de Santayana,2004,Librería Estvdio Santander,-,8495742373,Etnobiologia
Etno82,Herbário Etnobotânico: As Plantas do Catimbó em Meleagro de Luís da Câmara Cascudo,,Maria Thereza Lemos de Arruda Camargo,1999,"Humanitas, Fapesp",1° Ed.,,Etnobiologia
Etno83,Introdução à Etnobotânica,,Ulysses Paulino Albuquerque et al.,2022,Interciência,3° Ed.,,Etnobiologia
Etno84,Introdução ao Antropoceno,,Ulysses Paulino Albuquerque et al.,2022,Nuppea,1° Ed.,,Etnobiologia
Etno85,Introducing Medical Anthropology: A Discipline In Action,,"Merrill Singer, Hans Baer",2012,Altamira Press,2º Ed.,,Etnobiologia
Etno86,Introduction to Ethnobiology,,"Ulysses Paulino de Albuquerque, Rômulo Romeu Nóbrega Alves",2016,Springer,-,9783319281537,Etnobiologia
Etno87,,,,,,,,Etnobiologia
Etno88,Má Adaptação em Sistemas Médicos Locais Baseados em Plantas: Processos que favorecem o estabelecimento de Tratamentos Ineficientes em Populações Humanas,,André Luiz Borba do Nascimento,2018,-,-,,Etnobiologia
Etno89,Medical Anthropology in Ecological Perspective,,"Ann McElroy, Patricia K. Townsend",1941,Westview,4° Ed.,,Etnobiologia
Etno90,"Medicina Popular - Aspectos metodológicas para pesquisa garrafada - Objeto de pesquisa. Componentes medicinais de origem vegetal, animal e mineral",,Maria Thereza Lemos de Arruda Camargo,1985,ALMED Editora e Livraria Ltda.,-,,Etnobiologia
Etno91,Medicinas Paralelas,,"François Laplantione, Paul-Louis Rabeyron",1989,Brasiliense,1° Ed.,,Etnobiologia
Etno92,Medicinas Tradicionais e Medicina Ocidental na Amazônia,,Dominique Buchillet,1989,Edições Cejup,1º Ed.,,Etnobiologia
Etno93,Médicos e Curandeiros: Conflito social e saúde,,Maria Andréa Loyola,1984,Difel,1° Ed.,,Etnobiologia
Etno94,Métodos e Tecnicas na Pesquisa Etnobotânica,,,,,,,Etnobiologia
Etno95,O Papel do Gênero no Conhecimento das Plantas Medicinais e na Resiliencia de Sistemas Médicos Locais,,,,,,,Etnobiologia
Etno96,Os alucinogenos e o mundo simbólico,,Vera Penteado Coelho,1976,USP,1° Ed.,,Etnobiologia
Etno97,Padrôes de Riqueza e Utilização de Plantas em Florestas Tropicais,,,,,,,Etnobiologia
Etno98,People and Nature: An Introduction to Human Ecological Relations,,Emilio F. Moran,2007,Blackwell Publishing,-,,Etnobiologia
Etno99,Perspectivas teóricas e práticas das relações humanas com a natureza,,Marcelo Alves Ramos et al.,2021,EDUPE,1° Ed.,,Etnobiologia
Evo01,A Evolução na Biologia Moderna,,K. J. R. Edwards,1980,E. P. U,16° Ed.,-,Evolução
Evo02,Decifrando o genoma: A corrida para desvendar o DNA humano,,Kevin Davies,2001,Companhia das Letras,1° Ed.,9788535901061,Evolução
Evo03,Evolutionary Ethnobiology,,"Ulysses Paulino Albuquerque, Patrícia Muniz De Medeiros, Alejandro Casas",2013,Springer,1° Ed.,9783319199177,Evolução
Evo04,Biologia Evolutiva,,Douglas J. Futuyma,1986,FUNPEC,1° Ed.,85875228181,Evolução
Evo05,"Bates, Darwin Wallace e a Teoria da Evolução",,Ricardo Ferreira,1990,Editora Uinversidade de Brasilia,1° Ed.,9788523002701,Evolução
Evo06,Apenas Mais Uma Espécie Única - Padrões da Ecologia Evolutiva Humana,,Robert Foley,1987,EDUSP,7° Ed.,9788531401688,Evolução
Evo07,Cultural Evolution: How darwinian theory can explain human culture & synthesize the social sciences,,Alex Mesoudi,2011,University of Chicago Press,1° Ed.,9780226520445,Evolução
Evo08,Cultivando a Diversidade: Recursos genéticos e segurança alimentar local,,David Cooper et al.,1994,AS-PTa,1° Ed.,,Evolução
Evo09,Teoria da Evolução: de Darwin à teoria sintética,,Newton Freire-Maia,1988,Editora Itatiaia,2° Ed.,-,Evolução
Evo10,Análise Evolutiva,,"Scott Freeman, Jon C. Herron",2009,ARTMED,4° Ed.,9788536318141,Evolução
Evo11(1/2),Spreadsheet Exercises in Ecology and Evolution,,"Therese Marie Donovan, Charles Woodson Welden",2002,Sinauer Associates,1° Ed.,9780878931569,Evolução
Evo11(2/2),Spreadsheet Exercises in Ecology and Evolution,,"Therese Marie Donovan, Charles Woodson Welden",2002,Sinauer Associates,1° Ed.,9780878931569,Evolução
Evo12,Biologia Molecular e Evolução,,Sergio Russo Matioli,2001,"O holos, Editora",1° Ed.,,Evolução
Evo13,Biogeografia: Uma Abordagem Ecológica E Evolucionária,,"C. Barry Cox, Peter D. Moore, Luiz Felipe Coutinho Ferreira da Silva",2009,Grupo Gen - LTC,7° Ed.,9788521618881,Evolução
Evo14,Cultural Transmission and Evolution: A quantitative Approach,,"Luigi Luca Cavalli-Sforza, Marcus W. Feldman ",1981,Princeton University Press,1° Ed.,9780691209357,Evolução
Evo15,The Evolution of Cultural Diversity: A Phylogenetic Approach,,"Ruth Mace, Clare J Holden, Stephen Shennan",2005,Princeton University Press,1° Ed.,9781598742169,Evolução
FITO01,Farmacognosia da planta ao medicamento,1,"Alexandre Mariot, Cláudia Maria Oliveira Simões",2004,UFSC,1° Ed.,9788570256829,Fitossociologia
FITO02,Fitomedicina na Prática Ginecológica e Obstétrica,1,Sônia Maria Rolim Rosa Lima,2009,Atheneu,2° Ed.,-,Fitossociologia
FITO03,Farmacognosia,1,"Oliveira, F.; Akisue, G.; Akisue, M K",1991,Atheneu,1° Ed.,-,Fitossociologia
FITO04(1/2),Fundamentos de Farmacobotânica,1,Fernando de Oliveira & Gokithi Akisue,1989,Atheneu,2° Ed.,-,Fitossociologia
FITO04(2/2),Fundamentos de Farmacobotânica,1,Fernando de Oliveira & Gokithi Akisue,1989,Atheneu,2° Ed.,-,Fitossociologia
FITO06,Farmacognosia Biotecnologia,1,"Robbers, J. E., Speedie M. K. e Tyler V.E. ",1997,Premier,1° Ed.,-,Fitossociologia
FITO07,Plantas Medicinais no Brasil Nativas e Exóticas,1,"Harri Lorenzi, Francisco José de Abreu Matos",2002,Instituto Plantarum,1° Ed.,9788586714184,Fitossociologia
FITO08,Plantas Medicinais,1,Fraois Balmé,1982,HEMUS,1° Ed.,-,Fitossociologia
FITO09,Bibliografia de Plantas Medicinais Suplemento 1,1,Tania Maura Nora,1993,Secretatia Municipal de Saúde,1° Ed.,-,Fitossociologia
FITO10(1/2),Zooterapia Os animais na Medicina Popular Brasileira,1,"Costa-Neto, E.M.; Alves, R.R.N",2010,NUPEEA,2° Ed.,-,Fitossociologia
FITO10(2/2),Zooterapia Os animais na Medicina Popular Brasileira,1,"Costa-Neto, E.M.; Alves, R.R.N",2010,NUPEEA,2° Ed.,-,Fitossociologia
FITO11,Enciclopédia das Ervas e Plantas Medicinais,1,Rene Morgan,1979,HEMUS,1° Ed.,9788528905052,Fitossociologia
FITO12,Constituintes químicos ativos de Plantas Medicinais,1,"Sousa, M.",1991,EUFC,1° Ed.,-,Fitossociologia
FITO13,"Plantas Medicinais sob a ótica da Química Medicinal Moderna: métodos de estudo, fitoterápicos e fitofármacos, biotecnologia, patente",1,":Rosendo Augusto Yunes, João Batista Calixto",2001,ARGOS,1° Ed.,9788575350027,Fitossociologia
FITO14,Plantas Medicinais na Amazônia e na Mata Atlântica,1,"Luiz Claudio di Stasi, Clélia Akiko Hiruma-Lima",2002,UNESP,1° Ed.,9788571394117,Fitossociologia
FITO15,"Sacred Leaves of Candomblé: African Magic, Medicine, and Religion in Brazil",1,Robert A. Voeks,2003,University of Texas Press,,,Fitossociologia
FITO16,Flora Medicinal De los Mayas Peninsulares,1,Martha Méndez-González,2012,Centro de Investigación Científica de Yucatán,1° Ed.,9786077823148,Fitossociologia
FITO17,Fitoterapia - Conceitos Clinícos,,Degmar Ferro,2008,Atheneu,1° Ed.,-,Fitossociologia
FITO18,Plantas Medicinais do Brasil: Aspectos Gerais Sobre Legislação e Comércio,1,R.R. Silva,2001,TRAFFIC America del Sur: IBAMA,1° Ed.,9789978416259,Fitossociologia
FITO19,Fitoterapia Racional Um guia de fitoterapia para as ciências da saúde,1,"Volker Schulz, Rudolf Hansel, Varro E. Tyler",2002,Manole,4° Ed.,9788520409909,Fitossociologia
FITO20,Farmácias vivas: sistema de utilização de plantas medicinais projetado para pequenas comunidades,1,Francisco José de Abreu Matos,2002,UFC,1° Ed.,9788572820080,Fitossociologia
FITO21,Malezas Comestibles del Cono Sur,,"H. Rapoport, Angel Marzocca & Bárbara S. Drausa",2009,INTA,1° Ed.,-,Fitossociologia
FITO22,Plantes medicinals del Pirineu catalá,1,"Antoni Agelet, Joan Muntané, Montserrat Parada, Joan Vallès",2003,FARELL,2° Ed.,9788495695130,Fitossociologia
FITO23,Avances sobre Plantas Medicinales Andinas,1,Nilda Dora Vignaley e Maria Lelia Pochettino,2009,"Cyted, Risapret",1° Ed.,-,Fitossociologia
FITO24,Medicinal Plants and the Legacy of Richard E. Schultes,1,"Bruce E. Ponman, Rainer Bussmann",2012,William L. Brown Center at the Missouri Botanical Garden,1° Ed.,9780984841523,Fitossociologia
FITO25,Plantas úteis do Nordeste do Brasil,1,S. C. Pereira ,2003,Centro Nordestino de Informações sobre Plantas - CNIP; Associação Plantas do Nordeste-APNE,1° Ed.,-,Fitossociologia
FITO26,Plantas Venenosas e Animais Peçonhetos,1,Samuel Schvartsman,1992,SARVIER,1° Ed.,-,Fitossociologia
FITO27,Insetos de interesse médico e veterinário,1,Messias Carrera,1991,UFPR,1° Ed.,9788585132576,Fitossociologia
FITO28,Plantas dietéticas,1,Julio Alberto Hurrell et al.,2013,LOLA,1° Ed.,,Fitossociologia
FITO29,Plantas Medicinais para Ruminantes,1,"Patrício Marques de Souza, Dermeval Araújo Furtado, Suedney de Lima Silva",2012,epgraf,1º Ed.,97885603070667,Fitossociologia
FITO30,A saúde e a cura pela natureza,1,Edilson Pinto da Silva,2005,Grafica Santa Maria,1° Ed.,-,Fitossociologia
FITO31,Frutas Nativas da Região Centro - Oeste do Brasil,1,"Roberto Fontes Vieira, Tânia da Silveira Agostini-Costa, Dijalma Barbosa da Silva, Sueli Matiko Sano, Francisco Ricardo Ferreira",2010,EMBRAPA,-,,Fitossociologia
FITO32,Farmacopéia Popular do Cerrado,1,Jaqueline Evangelista Dias,2010,Pacari,1° Ed.,9788562918001,Fitossociologia
FITO33,"Etnobotânica, uso e classificação dos vegetais pelo kaingang",,,,,,,Fitossociologia
FITO34,A etnobotânica e os jardins botânicos,,,,,,,Fitossociologia
Id01(1/2),O dicionário de uma só palavra,,,,,,,
LIT01,As Mentiras que os Homens Contam,Literatura,Luis Fernando Verissimo,2015,Objetiva,1° Ed.,9788539007158,Literatura
LIT02,Augusto dos Anjos e sua Epoca,Literatura,Humberto Nobrega,1962,Universidade da Paraiba,1° Ed.,,Literatura
LIT03,Catálogo dos Manuscritos Avulsos da Capitania de Pernambuco: Fontes Documentais Coloniais do Semiárido Brasileiro,Literatura,,,,,,Literatura
